ID	LPD	FN
JAGOPO01	9.435116e-05	0.0001933735
RUG11857	0.0001034628	0.0001835457
Veillonella_A	0.000160683	0.0001257785
UBA4975	0.0001883581	9.752249e-05
UMGS1002	0.0002179669	6.760131e-05
38-11	0.0002211131	6.409537e-05
RUG11257	0.000215798	6.903538e-05
Paraclostridium	0.0001558697	0.0001288742
WQVL01	0.0001409575	0.0001435054
CAJPNN01	0.0002349516	4.90341e-05
Vallitalea_A	0.0001037003	0.0001802784
RGIG1927	0.0001933678	9.04809e-05
Herbaspirillum	0	0.0002824333
UBA3210	0.0001956231	8.542092e-05
HGM11808	0.0002006672	8.026118e-05
CALWSX01	0.0002251377	5.572512e-05
Gehongia	0.000158529	0.0001222325
RGIG3947	0.0001442846	0.0001363516
Ureibacillus	0.0002352212	4.526367e-05
UBA3907	0.0001909089	8.90008e-05
CAITLU01	0.0002266123	5.325199e-05
JAADGR01	5.676838e-05	0.0002225586
JAJYWX01	0.0001847767	9.429572e-05
UBA5884	0.0001495904	0.0001294439
UBA3830	0.0002100286	6.823288e-05
OMIS01	0.0001035312	0.0001742903
Priestia_D	0.0001617207	0.0001160714
UMGS1649	0.0001651357	0.0001122965
UBA3254	0.0001980885	7.897339e-05
Porphyromonas_A	0.000188482	8.798538e-05
CALVXC01	0.0001460727	0.0001303893
WRLZ01	5.384568e-05	0.0002223428
UBA9722	0.0002378713	3.802386e-05
WQZK01	0.0001589268	0.0001168579
UMGS1307	0.0002262758	4.801374e-05
JAAYHJ01	0.0001934665	7.982445e-05
RUG754	0.0001729282	9.829272e-05
Jeotgalicoccus_A	0.0001812669	8.987964e-05
Syntrophothermus	0.0002615106	9.369073e-06
Ga0074137	0.0002603469	9.991963e-06
UBA4080	0.0001857952	8.35529e-05
Capillibacterium	0.0001864272	8.270729e-05
UBA5150	0.0001994684	6.921902e-05
CALZKI01	0.000240685	2.796089e-05
JAILFQ01	3.851912e-05	0.000229834
Kallipyga	0.0001788196	8.887433e-05
Alteridesulfovibrio	0	0.0002674183
Mucilaginibacter	8.499521e-05	0.0001819976
JAJZKG01	0.0001516468	0.0001149906
Eubacterium_S	0.0002074613	5.888999e-05
SIG526	0.0001705118	9.577509e-05
Thermosipho_A	0.0001268575	0.0001393995
SIG710	0.0001472077	0.0001187907
Fictibacillus_A	0.0002344083	3.144413e-05
UBA8914	0	0.0002645927
Thermotalea	0.0001512858	0.0001128846
RGIG5579	0.0001629793	0.0001002836
JAGZEG01	0.0001297892	0.0001329218
JAILFK01	0.0002144739	4.757259e-05
UBA1217	0.0002392179	2.147718e-05
Cryptosporangium	0.0002595589	0
CALXGH01	0.0001601445	9.743204e-05
SIG435	0.0001585447	9.879626e-05
Moraxella_A	0.0002225339	3.352293e-05
Fusobacterium	0.0001441916	0.0001114987
DUEN01	2.450715e-05	0.0002310816
Bhargavaea	1.333011e-05	0.0002420988
WRMQ01	0.0002036158	5.171902e-05
Sneathiella	0.0002467917	8.088047e-06
RGIG5636	0.0001989072	5.492079e-05
HGM11377	5.581081e-05	0.0001980003
Faecaligallichristensenella	0.0002074187	4.627209e-05
Aulosira	0.0001088944	0.0001445379
Demequina	0.0002451315	8.158602e-06
UBA5489	0.0002419706	1.007523e-05
Margalitia	8.297321e-05	0.0001687827
JAAZLH01	0.0001465054	0.0001046632
UBA4116	0.0001184544	0.0001324367
RUG12817	0.00017538	7.520732e-05
Fermentimonas	0.0001103279	0.0001399643
Tissierella_A	0.0001753896	7.481377e-05
S5-A14a	0.0001351088	0.0001144292
Caldicellulosiruptor	0.0001836043	6.574112e-05
JAAYFG01	0.0001183467	0.0001307546
FEN-1173	0	0.0002485209
UBA5448	0.0001731243	7.530365e-05
Streptohalobacillus	9.762886e-05	0.0001505454
Nocardia	4.177714e-05	0.0002060612
JAEZIX01	0.0001253368	0.0001221096
UBA10428	0.000185784	6.142e-05
Sulfurimonas	0.0001749119	7.224604e-05
RGIG9099	0.0001906839	5.641018e-05
CABIZH01	0.000112282	0.0001344469
JAEXRW01	0.0001731121	7.303629e-05
SIG430	0.0001488507	9.724453e-05
JAGKQJ01	8.7735e-05	0.0001581006
UBA1179	7.081666e-05	0.0001749708
W-Firmicutes-14	0.0002341119	1.160643e-05
RGIG1995	0.0001557598	8.880076e-05
CAJLYO01	0.000194766	4.948414e-05
SIG530	0.0001192047	0.0001249072
Ndongobacter	0.0001437963	0.0001002793
DUVY01	9.269884e-05	0.000151336
Olegusella	0.0001270191	0.0001169135
WRIP01	0.0001660622	7.749787e-05
RGIG2951	6.258772e-05	0.000179919
DTU012	0.0001371632	0.0001052679
Selenomonas_B	0.0001530472	8.67349e-05
Anaeroglobus	0.0001361998	0.0001031758
UBA9978	5.989599e-05	0.0001794784
UBA1407	0.0001354066	0.0001036312
Desulfobaculum	0	0.0002387358
SIG554	0.0001687552	6.979206e-05
MED-G116	0.0001548686	8.367388e-05
GWF2-39-127	0.000119247	0.0001189637
DUMB01	0.0001368157	0.0001011213
RGIG3171	0.0001551177	8.24412e-05
Desulfamplus	0.0002183492	1.823786e-05
RGIG6969	0.0001647936	7.140596e-05
SIG350	0.0001446255	9.14932e-05
Gilliamella	6.936064e-05	0.0001666341
RUG12871	0.0001453506	9.035803e-05
UBA791	0	0.0002353067
Renibacterium	0.0001505427	8.463338e-05
RGIG8775	0.0002054292	2.847098e-05
RGIG1916	0.0001518663	8.16903e-05
RUG658	0.0001444417	8.872956e-05
RUG12834	0.0001145699	0.0001182367
UBA1436	3.426193e-05	0.0001984434
JAAYQM01	0.0001659963	6.565596e-05
JAFDHD01	0.0001699075	6.17287e-05
Avelusimicrobium	0.0001609074	7.046557e-05
DTU067	0.0002218301	9.517336e-06
DURK01	0.0001202291	0.0001109388
Xylanivirga	0.0001615203	6.950974e-05
Rossellomorea	0.0001870936	4.381738e-05
RGIG4607	0.0001833816	4.734673e-05
CALWZA01	0.000182287	4.835956e-05
SKKY01	0.0001790039	5.147853e-05
Endomicrobium	0.000182155	4.813284e-05
CAKOTZ01	0.0001978905	3.22222e-05
WRLL01	8.414548e-06	0.0002214689
CAKVOU01	0.0001994954	3.033482e-05
IMCC26134_A	9.485988e-05	0.0001340613
UBA1723	5.655436e-05	0.0001723492
HGM12957	0.0001676432	6.125324e-05
RGIG6353	0.0001529844	7.571734e-05
JAAZBA01	0.0001800727	4.831649e-05
Inconstantimicrobium	9.762203e-05	0.0001300729
JAFGDQ01	0.0001758669	5.156488e-05
Isachenkonia	0.0001903148	3.704311e-05
JAGPAO01	2.35345e-05	0.0002037774
Lentimicrobium	6.772807e-05	0.0001592906
CAJOGA01	0.0001438334	8.26579e-05
NZ13-RE01	0.0001944006	3.141431e-05
WRCC01	2.628521e-06	0.0002224997
WRHN01	2.598065e-05	0.0001986676
Avanaerovorax	0.0001984003	2.581978e-05
Acetoanaerobium	0.0001612463	6.252338e-05
UBA3362	0.0001405458	8.271352e-05
JAILHT01	9.812446e-05	0.0001249863
Carnobacterium_A	6.989446e-05	0.0001530315
JAGFXR01	0.0001249609	9.786554e-05
Paenibacillus_F	0.0001605749	6.22417e-05
JAHIRB01	0.0001671558	5.499264e-05
Alkalibacterium	7.073123e-05	0.0001511736
UBA1381	0.0001792332	4.260476e-05
Planobacterium	0.0001149185	0.0001068524
Amycolatopsis	7.744125e-05	0.0001442402
Anaerosphaera	0.0001499487	7.138726e-05
Clostridium_AE	0.000148116	7.305713e-05
UBA3871	0.0001770015	4.384808e-05
RGIG2479	4.231135e-06	0.0002164416
Alkalicoccus	0.0001509875	6.959319e-05
2011-GWC2-44-17	6.784702e-07	0.0002195706
Anaerosolibacter	0.0001677646	5.234852e-05
UBA2284	0.000188411	3.168109e-05
UBA1221	8.187935e-05	0.0001376539
DULI01	0.0001505167	6.90024e-05
JAAYIG01	0.000130517	8.883772e-05
Cutibacterium	0	0.0002189699
CAKTFW01	0.0001481153	7.071511e-05
Paenibacillus_AF	0.0001669227	5.171806e-05
JAAYFT01	9.471566e-05	0.0001236113
Klebsiella	4.537223e-05	0.0001729327
JAEDDN01	0.000131457	8.684402e-05
RGIG8597	0.0001768623	4.05154e-05
CALWZU01	0.0001320635	8.496438e-05
HGW-1	0.0001783768	3.86035e-05
UBA3775	0.0001017265	0.0001149196
Schneewindia	0.0001304973	8.609468e-05
JAGZLR01	0.0001559611	6.036105e-05
RGIG1743	0.0001602269	5.606846e-05
M08DMB	0.0001299167	8.620093e-05
JACCTF01	0.0001835799	3.243208e-05
Mycobacterium	9.670065e-05	0.0001192033
SIG488	0.0001068217	0.0001090104
JAHHTP01	0.0001029454	0.0001126071
Hymenobacter	0.0001640138	5.143684e-05
UBA6116	5.82579e-05	0.0001571412
Pseudomonas_B	5.56462e-06	0.0002090798
Cognatazoarcus	0.0001800163	3.460836e-05
UBA11373	7.071669e-05	0.0001437655
CAKRRH01	0.0001159462	9.842669e-05
JAJZSN01	0.0001394928	7.449911e-05
CAKNOI01	0.0001814572	3.210235e-05
RGIG577	0.0001281972	8.447925e-05
JAEDJI01	0.0001343892	7.822934e-05
RGIG2161	0.0001587335	5.361535e-05
RGIG1913	0.0001397445	7.254579e-05
JAJECS01	0.0001741658	3.768379e-05
UMGS1540	0.0001686976	4.310651e-05
MVRN01	0.0001172916	9.408964e-05
DTU036	0.0001577126	5.346385e-05
UBA6107	0.000158541	5.256318e-05
JACVXV01	0.0001094382	0.0001007375
SIG471	0.000115446	9.416569e-05
UBA6094	0.0001468028	6.219967e-05
Lachnobacterium	0.0001214241	8.650976e-05
JAJXWJ01	0.0001475742	6.008641e-05
UBA9076	1.249555e-05	0.0001950279
Anaerosporomusa	0.0001122587	9.524299e-05
Stercoripulliclostridium_A	7.833664e-05	0.0001289925
Ga6A1	9.538478e-05	0.0001117488
RGIG7332	0.0001567249	4.977077e-05
RUG11788	0.0001446707	6.171524e-05
CAKSKO01	0.0001628279	4.323518e-05
JAAYQI01	0.0001881142	1.780844e-05
WRJS01	0.0001925348	1.316315e-05
Brevibacterium	0.0001767301	2.880939e-05
Paradesulfovibrio	0	0.0002047913
Mariniphaga	1.635016e-05	0.0001883557
CACZQA01	0.0001193602	8.522643e-05
SFKP01	0.0001421355	6.194499e-05
Acetitomaculum	0.000141574	6.232324e-05
CAJBLF01	0.0001381229	6.57601e-05
CCUG-7971	0.0001287714	7.477821e-05
WRMG01	7.372296e-05	0.0001295672
JAEELB01	3.0181e-05	0.0001730054
WRFF01	0.0001229004	8.018648e-05
PWLF01	2.784589e-05	0.0001750339
Clostridium_C	0	0.0002026545
Maridesulfovibrio	7.684462e-05	0.0001256953
Phyllobacterium	0.0001989167	3.590065e-06
WQUU01	0.0001654157	3.699424e-05
Alkalicella	0.0001451337	5.649572e-05
UBA1188	0.0001304022	7.024682e-05
SIG438	0.0001331472	6.721556e-05
WQXH01	3.211531e-05	0.0001682437
RGIG3641	0.0001152531	8.488217e-05
Youngiibacter	0.0001285767	7.153932e-05
RUG14319	9.532006e-05	0.0001044132
Pseudomonas_E	8.527811e-05	0.0001137387
Galligastranaerophilus_A	5.112553e-06	0.0001933925
DUSS01	0.0001418918	5.642178e-05
Desulfopila_A	0.0001024235	9.510518e-05
SIG469	0.0001594038	3.8083e-05
Synergistes	0.0001167744	8.058017e-05
Lumbricidophila	0.0001315009	6.555247e-05
PP17-6a	8.117799e-05	0.0001156731
JACNKH01	0.0001343945	6.233551e-05
JAJPIL01	0	0.0001966891
Syntrophomonas	0.0001750099	2.15763e-05
UBA5774	0.0001633696	3.315196e-05
WRMU01	7.87549e-07	0.0001953725
Spyradosoma	0.0001212363	7.456845e-05
AQU-01	0	0.0001958017
RUG033	0.0001112038	8.406296e-05
SV3-B141	0.0001583426	3.682279e-05
UBA5454	8.963857e-06	0.0001855439
RGIG4130	8.193037e-05	0.0001124969
DTU078	0.0001212288	7.307089e-05
JAEWFD01	0.0001214574	7.280032e-05
RUG14258	0.0001074001	8.682519e-05
UBA8514	0.0001462212	4.766838e-05
UBA6024	0.0001085568	8.531081e-05
UBA7862	0.0001488361	4.458182e-05
REAG01	9.974901e-05	9.3572e-05
DUOD01	0.0001245266	6.857822e-05
RGIG6919	9.044577e-05	0.0001025377
CALWPT01	0.0001557669	3.647008e-05
UMGS2068	0.0001126548	7.942102e-05
JADLFC01	0.0001817667	1.016837e-05
DUUE01	0.0001300009	6.186126e-05
Bacillus_O	0.0001662417	2.539012e-05
Natranaerovirga	0.000138542	5.288463e-05
WRDA01	0.0001052448	8.615705e-05
